Index Name,Date,Open,High,Low,Close,Daily Return,Vol20,
NIFTY 50,22-Jun-20,10318.75,10393.65,10277.6,10311.2,0.006499468,0.013412969,
NIFTY 50,23-Jun-20,10347.95,10484.7,10301.75,10471,0.015378848,0.013421354,
NIFTY 50,24-Jun-20,10529.25,10553.15,10281.95,10305.3,-0.015951205,0.013163648,
NIFTY 50,25-Jun-20,10235.55,10361.8,10194.5,10288.9,-0.001592682,0.012838535,
NIFTY 50,26-Jun-20,10378.9,10409.85,10311.25,10383,0.009104209,0.01283088,
NIFTY 50,29-Jun-20,10311.95,10337.95,10223.6,10312.4,-0.006822799,0.012007835,
NIFTY 50,30-Jun-20,10382.6,10401.05,10267.35,10302.1,-0.000999297,0.011625539,
NIFTY 50,1-Jul-20,10323.8,10447.05,10299.6,10430.05,0.012343305,0.011784484,
NIFTY 50,2-Jul-20,10493.05,10598.2,10485.55,10551.7,0.011595922,0.011917074,
NIFTY 50,3-Jul-20,10614.95,10631.3,10562.65,10607.35,0.005260173,0.011762541,
NIFTY 50,6-Jul-20,10723.85,10811.4,10695.1,10763.65,0.014627559,0.012084694,
NIFTY 50,7-Jul-20,10802.85,10813.8,10689.7,10799.65,0.00333901,0.011571802,
NIFTY 50,8-Jul-20,10818.65,10847.85,10676.55,10705.75,-0.008732746,0.011862572,
NIFTY 50,9-Jul-20,10755.55,10836.85,10733,10813.45,0.010009749,0.010485214,
NIFTY 50,10-Jul-20,10764.1,10819.4,10713,10768.05,-0.004207313,0.010635321,
NIFTY 50,13-Jul-20,10851.85,10894.05,10756.05,10802.7,0.003212687,0.009552444,
NIFTY 50,14-Jul-20,10750.85,10755.65,10562.9,10607.35,-0.018248946,0.010750366,
NIFTY 50,15-Jul-20,10701,10827.45,10577.75,10618.2,0.001022353,0.010651358,
NIFTY 50,16-Jul-20,10706.2,10755.3,10595.2,10739.95,0.011400924,0.010016195,
NIFTY 50,17-Jul-20,10752,10933.45,10749.65,10901.7,0.014948307,0.010011542,
NIFTY 50,20-Jul-20,10999.45,11037.9,10953,11022.2,0.01099268,0.010141195,
NIFTY 50,21-Jul-20,11126.1,11179.55,11113.25,11162.25,0.012626129,0.009986621,
NIFTY 50,22-Jul-20,11231.2,11238.1,11056.55,11132.6,-0.002659809,0.009043028,
NIFTY 50,23-Jul-20,11135,11239.8,11103.15,11215.45,0.007414551,0.008981208,
NIFTY 50,24-Jul-20,11149.95,11225.4,11090.3,11194.15,-0.001900972,0.009009192,
NIFTY 50,27-Jul-20,11225,11225,11087.85,11131.8,-0.005585443,0.008936641,
NIFTY 50,28-Jul-20,11154.1,11317.75,11151.4,11300.55,0.01504552,0.009197334,
NIFTY 50,29-Jul-20,11276.9,11341.4,11149.75,11202.85,-0.008683187,0.009466466,
NIFTY 50,30-Jul-20,11254.3,11299.95,11084.95,11102.15,-0.009029427,0.009667865,
NIFTY 50,31-Jul-20,11139.5,11150.4,11026.65,11073.45,-0.002588432,0.009710945,
NIFTY 50,3-Aug-20,11057.55,11058.05,10882.25,10891.6,-0.016558501,0.010098063,
NIFTY 50,4-Aug-20,10946.65,11112.25,10908.1,11095.25,0.018525239,0.010857947,
NIFTY 50,5-Aug-20,11155.75,11225.65,11064.05,11101.65,0.000576657,0.010599417,
NIFTY 50,6-Aug-20,11185.7,11256.8,11127.3,11200.15,0.008833425,0.010554725,
NIFTY 50,7-Aug-20,11186.65,11231.9,11142.05,11214.05,0.001240285,0.0104626,
NIFTY 50,10-Aug-20,11270.25,11337.3,11238,11270.15,0.004990181,0.010480716,
NIFTY 50,11-Aug-20,11322.25,11373.6,11299.15,11322.5,0.004634259,0.009325676,
NIFTY 50,12-Aug-20,11289,11322,11242.65,11308.4,-0.001246084,0.00936805,
NIFTY 50,13-Aug-20,11334.85,11359.3,11269.95,11300.45,-0.000703264,0.009196288,
NIFTY 50,14-Aug-20,11353.3,11366.25,11111.45,11178.4,-0.010859203,0.009174679,
NIFTY 50,17-Aug-20,11248.9,11267.1,11144.5,11247.1,0.006126973,0.008964939,
NIFTY 50,18-Aug-20,11259.8,11401.7,11253.15,11385.35,0.012217124,0.008937471,
NIFTY 50,19-Aug-20,11452.15,11460.35,11394.1,11408.4,0.002022485,0.008898086,
NIFTY 50,20-Aug-20,11317.45,11361.45,11289.8,11312.2,-0.008468137,0.00902433,
NIFTY 50,21-Aug-20,11409.65,11418.5,11362.2,11371.6,0.00523723,0.00906836,
NIFTY 50,24-Aug-20,11412,11497.25,11410.65,11466.45,0.008306361,0.009086626,
NIFTY 50,25-Aug-20,11513.1,11525.9,11423.35,11472.25,0.000505696,0.008507435,
NIFTY 50,26-Aug-20,11512.85,11561.75,11461.85,11549.6,0.006719729,0.008302885,
NIFTY 50,27-Aug-20,11609.3,11617.35,11540.6,11559.25,0.000835178,0.007927473,
NIFTY 50,28-Aug-20,11602.95,11686.05,11589.4,11647.6,0.007614168,0.007943743,
NIFTY 50,31-Aug-20,11777.55,11794.25,11325.85,11387.5,-0.022583888,0.00877631,
NIFTY 50,1-Sep-20,11464.3,11553.55,11366.9,11470.25,0.007240464,0.008001862,
NIFTY 50,2-Sep-20,11478.55,11554.75,11430.4,11535,0.005629165,0.008045432,
NIFTY 50,3-Sep-20,11566.2,11584.95,11507.65,11527.45,-0.000654744,0.007894304,
NIFTY 50,4-Sep-20,11354.4,11452.05,11303.65,11333.85,-0.016937324,0.008900777,
NIFTY 50,7-Sep-20,11359.6,11381.15,11251.7,11355.05,0.001868756,0.008845674,
NIFTY 50,8-Sep-20,11378.55,11437.25,11290.45,11317.35,-0.003325632,0.008823003,
NIFTY 50,9-Sep-20,11218.6,11298.15,11185.15,11278,-0.003483021,0.008853453,
NIFTY 50,10-Sep-20,11363.3,11464.05,11327.4,11449.25,0.0150703,0.00948049,
NIFTY 50,11-Sep-20,11447.8,11493.5,11419.9,11464.45,0.001326717,0.009084938,
NIFTY 50,14-Sep-20,11540.15,11568.9,11383.55,11440.05,-0.002130586,0.009039798,
NIFTY 50,15-Sep-20,11487.2,11535.95,11442.25,11521.8,0.007120536,0.008770331,
NIFTY 50,16-Sep-20,11538.45,11618.1,11516.75,11604.55,0.00715637,0.008888623,
NIFTY 50,17-Sep-20,11539.4,11587.2,11498.5,11516.1,-0.007651206,0.008845309,
NIFTY 50,18-Sep-20,11584.1,11584.1,11446.1,11504.95,-0.000968679,0.0087936,
NIFTY 50,21-Sep-20,11503.8,11535.25,11218.5,11250.55,-0.022360361,0.009970855,
NIFTY 50,22-Sep-20,11301.75,11302.2,11084.65,11153.65,-0.008650218,0.010109703,
